Source,Target
1511640000000000000,750336000000000000
1511640000000000000,214930248
901544000000000000,1118560000000000000
901544000000000000,26538229
2463559218,1468960000000000000
1345800000000000000,833571000000000000
1345800000000000000,4849908027
451060727,40586273
913544000000000000,14401595
819338000000000000,886297000000000000
473316122,16106522
878881658,1386780000000000000
878881658,962874000000000000
1352560000000000000,806569000000000000
318327835,1295530000000000000
318327835,1496210000000000000
1491820000000000000,1210030000000000000
1491820000000000000,907411000000000000
243127562,727760000000000000
1309840000000000000,971597000000000000
1309840000000000000,2266273256
1266080000000000000,1321240000000000000
1266080000000000000,1029721933
1266080000000000000,281703573
1266080000000000000,1150650000000000000
1266080000000000000,1460800000000000000
1397450000000000000,1443440000000000000
1674565801,943507000000000000
1409050000000000000,843624000000000000
1409050000000000000,361289499
1492960000000000000,738793000000000000
1483570000000000000,1387500000000000000
1491760000000000000,1491760000000000000
1437300000000000000,1020250000000000000
1437300000000000000,2378366425
1401060000000000000,1000780000000000000
1401060000000000000,1402910000000000000
1401060000000000000,903590000000000000
27069390,21525682
1135310000000000000,768445000000000000
702303373,1300520000000000000
1357520000000000000,1393950000000000000
1357520000000000000,1478121462
1357520000000000000,305751928
1357520000000000000,1435220000000000000
1357520000000000000,1425000000000000000
1357520000000000000,1255470000000000000
1357520000000000000,1285670000000000000
1357520000000000000,275896474
1357520000000000000,1368360000000000000
1357520000000000000,1107740000000000000
1357520000000000000,1384600000000000000
1357520000000000000,27843263
1357520000000000000,15110581
1357520000000000000,1292200000000000000
1357520000000000000,1301220000000000000
1357520000000000000,2251105062
1357520000000000000,999368000000000000
1357520000000000000,1465810000000000000
1357520000000000000,1369970000000000000
1357520000000000000,959915000000000000
1357520000000000000,1178300000000000000
1189180000000000000,1441720000000000000
1189180000000000000,970995000000000000
1495740000000000000,92245322
1400070000000000000,609143325
1400070000000000000,110682507
1400070000000000000,1274469684
1450000000000000000,1295530000000000000
1450000000000000000,1496210000000000000
1491820000000000000,18872889
3192766612,1232360000000000000
1316120000000000000,499915839
1260980000000000000,1180812228
326278023,585946953
1410540000000000000,1239850000000000000
1410540000000000000,1373720000000000000
1410540000000000000,728747154
1401310000000000000,938607000000000000
1344600000000000000,244647486
1344600000000000000,427089628
2186968261,106466786
937758000000000000,937758000000000000
937758000000000000,783214
937758000000000000,361289499
937758000000000000,12
124758124,234638601
78913112,3348620776
243758564,1033080000000000000
1389190000000000000,14101605
1271180000000000000,1460160000000000000
875922000000000000,15250661
1438730000000000000,37084745
1410970000000000000,1517110000000000000
1410970000000000000,1513820000000000000
1410970000000000000,1513820000000000000
1410970000000000000,1419580000000000000
63173185,14106266
1434880000000000000,1435220000000000000
2734856300,1471090000000000000
1324420000000000000,863624000000000000
1324420000000000000,1463020000000000000
1383240000000000000,2345265093
1383240000000000000,1386850000000000000
1383240000000000000,1519650000000000000
1383240000000000000,1501040000000000000
1475830000000000000,1525480000000000000
1475830000000000000,357312062
137461184,1389550000000000000
698841000000000000,552205500
698841000000000000,3534494656
1361020000000000000,1345020000000000000
1152900000000000000,2774877930
1498420000000000000,248973133
2358236409,499915839
3068690196,1469360000000000000
1681327556,782946000000000000
1104390000000000000,948593000000000000
1104390000000000000,333338842
1104390000000000000,140047913
1357610000000000000,1476610000000000000
3192766612,1427290000000000000
16650099,915613000000000000
16650099,1457380000000000000
16650099,1111714351
16650099,1598709350
1080770000000000000,904701000000000000
964084000000000000,1342240000000000000
964084000000000000,966610000000000000
964084000000000000,80820758
1117940000000000000,1535106630
1117940000000000000,1439980000000000000
1117940000000000000,2597897487
87724807,373457750
1509170000000000000,970995000000000000
1486290000000000000,10228272
1165780000000000000,1407370000000000000
1165780000000000000,63147492
1476780000000000000,2979792383
479331483,843624000000000000
479331483,970995000000000000
1403240000000000000,1178630000000000000
1403240000000000000,1331420000000000000
1347480000000000000,107506412
236061774,975433000000000000
862675230,918123000000000000
950075000000000000,92245322
747841000000000000,893819000000000000
747841000000000000,1083700000000000000
1366360000000000000,740030318
